證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2023","燁輝","2367019","39348347","16.65","16.90","16.40","16.90","-0.0500","1428"
"2024","志聯","26806","515123","19.25","19.40","19.20","19.40","-0.0500","151"
"2025","千興","228005","4010474","17.50","17.80","17.20","17.65","-0.0500","414"
"2027","大成鋼","34461064","1641978976","48.05","48.50","47.05","47.75","-0.8500","20955"
"2028","威致","207810","4863309","23.65","23.65","23.20","23.50","-0.1500","158"
"2029","盛餘","1322493","34832060","25.80","26.80","25.60","26.55","0.7500","763"
"2030","彰源","421648","7735221","18.25","18.50","18.20","18.40","-0.0500","295"
"2031","新光鋼","854086","44132318","51.00","52.20","51.00","52.10","0.1000","739"
"2032","新鋼","2936308","60049057","20.50","21.00","20.05","20.25","-0.4000","1668"
"2033","佳大","165574","3722067","22.80","22.80","22.20","22.80","0.0000","103"
"2034","允強","6442636","170778265","26.60","27.00","26.20","26.45","-0.5500","3702"
"2038","海光","1363625","26615729","19.15","19.80","19.10","19.65","0.1500","814"
"2049","上銀","12612239","3789878487","300.00","306.00","297.00","301.00","-0.5000","13739"
"2059","川湖","1383685","2741930830","1960.00","2010.00","1945.00","2005.00","5.0000","2526"
"2062","橋椿","7104871","236181623","32.85","34.30","31.90","31.90","-0.8500","5175"
"2069","運錩","311747","5818098","18.30","18.90","18.30","18.80","0.2000","215"
"2101","南港","1007380","47919923","47.30","48.00","47.05","47.95","0.0500","980"
"2102","泰豐","185830","3392128","18.25","18.50","18.05","18.50","0.2000","356"
"2103","台橡","2424731","51531693","21.55","21.55","21.05","21.35","-0.4000","1142"
"2104","國際中橡","2151806","26737440","12.50","12.60","12.25","12.60","0.0000","1016"
"2105","正新","4875910","249250964","50.60","51.80","50.30","51.20","0.3000","2169"
"2106","建大","406052","11240104","27.75","28.00","27.35","28.00","-0.0500","380"
"2107","厚生","147202","3866979","26.20","26.45","26.10","26.45","0.1500","213"
"2108","南帝","178070","5897892","33.00","33.60","32.85","33.60","0.1500","217"
"2109","華豐","298667","5559198","18.65","18.70","18.55","18.70","0.0500","158"
"2114","鑫永銓","27310","2537190","92.40","93.10","92.40","93.10","0.5000","36"
"2115","六暉-KY","42347","1280961","29.85","30.75","29.85","30.35","0.2000","28"
"2201","裕隆","2266474","108582564","47.90","48.55","47.20","48.50","-0.3500","2144"
"2204","中華","1657291","129222919","78.00","79.20","77.00","79.10","0.5000","1529"
